"signal","effect","effect_label","method","relation","metric","n","mean","sd","mcse","ci_low","ci_high","median","q1","q3","min","max"
"Mid",0.6,"Moderate (0.60)","ctS-GIMME","True same-group pairs","stable_correct",500,0.918129824561403,0.110985214105567,0.00496340966474831,0.90837806771356,0.927881581409247,0.966666666666667,0.9,1,0.329824561403509,1
"Mid",0.6,"Moderate (0.60)","ctS-GIMME","True same-group pairs","unstable",500,0.0818315789473684,0.110834207066894,0.00495665642467725,0.0720930903887771,0.0915700675059598,0.0333333333333333,0,0.1,0,0.670175438596491
"Mid",0.6,"Moderate (0.60)","ctS-GIMME","True same-group pairs","stable_wrong",500,3.85964912280702e-05,0.000788341956227613,3.52557240728021e-05,-3.06714660583164e-05,0.000107864448514457,0,0,0,0,0.0175438596491228
"Mid",0.6,"Moderate (0.60)","ctS-GIMME","True different-group pairs","stable_correct",500,0.848586666666667,0.168422150091021,0.00753206753040393,0.833788192214778,0.863385141118555,0.951666666666667,0.666666666666667,0.983333333333333,0.333333333333333,1
"Mid",0.6,"Moderate (0.60)","ctS-GIMME","True different-group pairs","unstable",500,0.151225,0.16806092891167,0.00751591322816506,0.136458264380511,0.165991735619489,0.0483333333333333,0.0166666666666667,0.333333333333333,0,0.666666666666667
"Mid",0.6,"Moderate (0.60)","ctS-GIMME","True different-group pairs","stable_wrong",500,0.000188333333333333,0.00350736850405,0.000156854287943951,-0.000119842896292593,0.00049650956295926,0,0,0,0,0.0766666666666667
"Mid",0.6,"Moderate (0.60)","DT-GIMME (S-GIMME)","True same-group pairs","stable_correct",500,0.809968421052632,0.149121554517614,0.00666891865623654,0.796865800562617,0.823071041542646,0.828947368421053,0.718859649122807,0.933333333333333,0.321052631578947,1
"Mid",0.6,"Moderate (0.60)","DT-GIMME (S-GIMME)","True same-group pairs","unstable",500,0.189498245614035,0.148254021601593,0.00663012140477767,0.176471851224252,0.202524640003818,0.171052631578947,0.0666666666666667,0.278947368421053,0,0.678947368421053
"Mid",0.6,"Moderate (0.60)","DT-GIMME (S-GIMME)","True same-group pairs","stable_wrong",500,0.000533333333333333,0.00450051995593307,0.000201269371111214,0.000137893484405523,0.000928773182261144,0,0,0,0,0.068421052631579
"Mid",0.6,"Moderate (0.60)","DT-GIMME (S-GIMME)","True different-group pairs","stable_correct",500,0.83295,0.170161513612106,0.00760985423181849,0.817998695729614,0.847901304270386,0.916666666666667,0.666666666666667,0.968333333333333,0.283333333333333,1
"Mid",0.6,"Moderate (0.60)","DT-GIMME (S-GIMME)","True different-group pairs","unstable",500,0.163501666666667,0.168731995328376,0.0075459242306685,0.148675967548506,0.178327365784827,0.0829166666666667,0.0316666666666667,0.333333333333333,0,0.716666666666667
"Mid",0.6,"Moderate (0.60)","DT-GIMME (S-GIMME)","True different-group pairs","stable_wrong",500,0.00354833333333333,0.0283974018741105,0.00126997041949782,0.00105318512446101,0.00604348154220566,0,0,0,0,0.333333333333333
"Large",0.9,"Large (0.90)","ctS-GIMME","True same-group pairs","stable_correct",500,0.894112280701754,0.137271860167307,0.00613898421463888,0.882050837984444,0.906173723419065,0.936842105263158,0.851754385964912,1,0.32280701754386,1
"Large",0.9,"Large (0.90)","ctS-GIMME","True same-group pairs","unstable",500,0.105771929824561,0.136940533773444,0.00612416684785055,0.093739599223277,0.117804260425846,0.0631578947368421,0,0.148245614035088,0,0.67719298245614
"Large",0.9,"Large (0.90)","ctS-GIMME","True same-group pairs","stable_wrong",500,0.000115789473684211,0.00123885152506449,5.54031244814695e-05,6.93732666291788e-06,0.000224641620705503,0,0,0,0,0.0192982456140351
"Large",0.9,"Large (0.90)","ctS-GIMME","True different-group pairs","stable_correct",500,0.818891666666667,0.193301789768601,0.0086447188418993,0.801907133481162,0.835876199852171,0.933333333333333,0.666666666666667,0.983333333333333,0.183333333333333,1
"Large",0.9,"Large (0.90)","ctS-GIMME","True different-group pairs","unstable",500,0.179945,0.191631988461981,0.00857004305728888,0.163107184523315,0.196782815476685,0.0666666666666667,0.0166666666666667,0.333333333333333,0,0.766666666666667
"Large",0.9,"Large (0.90)","ctS-GIMME","True different-group pairs","stable_wrong",500,0.00116333333333333,0.0152883474297999,0.000683715682333334,-0.000179982962826171,0.00250664962949284,0,0,0,0,0.3
"Large",0.9,"Large (0.90)","DT-GIMME (S-GIMME)","True same-group pairs","stable_correct",500,0.945119298245614,0.0858261139056396,0.003838260498753,0.937578155033447,0.952660441457781,1,0.910526315789474,1,0.494736842105263,1
"Large",0.9,"Large (0.90)","DT-GIMME (S-GIMME)","True same-group pairs","unstable",500,0.0548035087719298,0.085637594862228,0.00382982967083057,0.0472789298551723,0.0623280876886874,0,0,0.0894736842105263,0,0.505263157894737
"Large",0.9,"Large (0.90)","DT-GIMME (S-GIMME)","True same-group pairs","stable_wrong",500,7.71929824561404e-05,0.000926045352743015,4.1414007179623e-05,-4.17433464824015e-06,0.000158560299560521,0,0,0,0,0.0140350877192982
"Large",0.9,"Large (0.90)","DT-GIMME (S-GIMME)","True different-group pairs","stable_correct",500,0.937993333333333,0.125322467425771,0.00560459112544053,0.926981828424712,0.949004838241955,1,0.969375,1,0.433333333333333,1
"Large",0.9,"Large (0.90)","DT-GIMME (S-GIMME)","True different-group pairs","unstable",500,0.06017,0.123141003922444,0.00550703311176306,0.0493501701881767,0.0709898298118233,0,0,0.0175,0,0.566666666666667
"Large",0.9,"Large (0.90)","DT-GIMME (S-GIMME)","True different-group pairs","stable_wrong",500,0.00183666666666667,0.022915647697028,0.00102481891997982,-0.000176825185857949,0.00385015851919128,0,0,0,0,0.333333333333333
